timestamp,binary_hash,hamming_to_prev
2025-11-29T21:16:15.866677,10001101 10101010 11011101 00010010 01001110 10111010 01111100 11110000 00000110 11101111 10001011 01101111,3
2025-11-29T21:16:16.269281,10001101 10101010 11111101 00010010 01011110 10110000 01111100 11110000 00000111 11101111 10001011 01101111,5
2025-11-29T21:16:16.583994,10011101 10101010 11111101 00010000 01001110 11111010 01111100 11110000 00000111 11101111 10001011 01101111,6
2025-11-29T21:16:16.900937,10001101 10101100 10011101 00010000 01001110 10110000 01111100 11110001 00000111 11101111 10001011 01101111,9
2025-11-29T21:16:17.225758,10001101 10101010 11011101 00010000 01001110 10111000 01111100 11110000 00000111 11101111 10001011 01101111,5
2025-11-29T21:16:17.526130,10001101 10101010 11011101 00011000 01001110 11111010 01111100 11110000 00000111 11101111 10001011 01101111,3
2025-11-29T21:16:17.859765,10001101 10101010 10011101 00010000 01001110 10111000 01111100 11110001 00000110 11101111 10001011 01101111,6
2025-11-29T21:16:18.162346,10001101 00100000 11111111 00010000 01001110 10100010 01111100 11110001 10000110 11101111 10001011 01101111,10
2025-11-29T21:16:18.461334,10001101 10101000 11111101 00000000 01001110 11101010 01111100 11110001 00000111 11101111 10001011 01101111,8
2025-11-29T21:16:18.751969,10001101 10100000 11111101 00010010 01001111 10110000 01111000 11110000 00000110 11101111 10001011 01101111,11
2025-11-29T21:16:19.057687,11011101 10101010 11011101 01010010 01001110 00111010 01111000 11110000 01000110 11100111 10101011 01101101,14
2025-11-29T21:16:19.358231,10001101 10101010 10111101 00011000 01001110 10111000 01111000 11110101 11000110 11101111 10001011 01101111,15
2025-11-29T21:16:19.674135,10011101 10101010 11011101 00011000 01011111 11111000 01111000 11110101 11000111 11101011 10111011 01100111,11
2025-11-29T21:16:19.982682,10001101 00100000 11111101 00011000 01001111 11100000 01111000 11010101 10000111 11101111 10001111 01101101,16
2025-11-29T21:16:20.289666,10001101 00100010 11011111 00010000 01011011 10100010 01111000 11110000 10000111 11101111 10001011 01101111,13
2025-11-29T21:16:20.721791,10011101 10101010 11011101 00010010 01011010 11110000 01111000 11010101 10000111 11101111 10001011 01101111,12
2025-11-29T21:16:21.083609,10001101 10101010 11111101 00011000 01011111 11110000 01111100 11110101 10000110 11101111 10011011 01101111,10
2025-11-29T21:16:21.382423,10001101 00101000 11011111 00011000 01001110 10100000 01111000 11010000 11000111 11101111 10001011 01101111,15
2025-11-29T21:16:21.685765,10001101 10100010 11011101 00010000 01111110 01110010 01111000 11110000 11000111 11101111 10001011 01101111,12
2025-11-29T21:16:22.018258,10001101 10100000 11111101 00010001 01101110 11100010 11111000 11110001 00000110 11101111 10001011 01101111,11
2025-11-29T21:16:22.331901,10001101 10100000 11011111 00010000 01011110 11100010 11111000 11110000 00000110 11101111 10001011 01101111,6
2025-11-29T21:16:22.636542,10001101 10100010 11011101 00010000 01011110 11100010 01111100 11110000 00000110 11101111 10001011 01101111,4
2025-11-29T21:16:22.957324,10011101 10101010 11011101 00010000 01011110 11110010 01111000 11110000 00000110 11101111 10011011 01101111,5
2025-11-29T21:16:23.248974,10011101 10101000 11111101 00000010 01011110 11110000 01111100 11110001 00000111 11101111 10001011 01101111,9
2025-11-29T21:16:23.556972,10011101 10101000 11011101 00010000 01011110 10111000 01111000 11110001 01000111 11101111 10001011 01101111,7
2025-11-29T21:16:23.905196,10001101 10101000 11011101 00010000 01011110 10111000 01111000 11110001 00000110 11101111 10001011 01101111,3
2025-11-29T21:16:24.199093,10001101 00101000 11111111 00010000 01001110 10100000 01111100 11110001 00000110 11101111 10001011 01101111,7
2025-11-29T21:16:24.484899,10011101 00101000 10111111 00000000 01011110 11100000 01111100 11110001 01000111 11101111 10001011 01101111,7
2025-11-29T21:16:24.803735,10011101 00101000 11111101 00010000 01101110 11100000 01111100 11110001 00000111 11101111 10011011 01101111,7
2025-11-29T21:16:25.290005,10011101 10101000 11111101 00010000 01011110 11100000 01111100 11110000 00000111 11101111 10001011 01101111,5
2025-11-29T21:16:25.606894,10001101 10101010 11111101 00010010 01011110 11100000 01111100 11110001 00000110 11101111 10001011 01100111,6
2025-11-29T21:16:25.935514,10011101 10101000 11111111 00010000 01011110 11110000 01111100 11110001 00000111 11101111 10001011 01100111,6
2025-11-29T21:16:26.278156,10001101 10101010 11111101 00010000 01001110 10101000 01111000 11110001 00000110 11101111 10001001 01101111,11
2025-11-29T21:16:26.644328,10001101 10101010 11111101 00010000 01001110 10100000 01111100 11110001 01000110 11101111 10001001 01101111,3
2025-11-29T21:16:27.081361,10001101 10101010 11011101 00010000 01011110 11101000 01111100 11110000 00000111 11101111 10001011 01100111,9
2025-11-29T21:16:27.470036,10001101 10101000 11111101 00010000 01011110 11100000 01111100 11110001 00000110 11101111 10001001 01101111,7
2025-11-29T21:16:27.858894,10001101 10101010 11011101 00010010 01011110 10111000 01111000 11110001 00000110 11101111 10001011 01101111,8
2025-11-29T21:16:28.234582,10001101 10101010 11111101 00010000 01011110 11100000 01111100 11110001 00000110 11101111 10001011 01101111,6
2025-11-29T21:16:28.623143,10001101 10101010 11111101 00010000 01011110 11100000 01111100 11110001 01000110 11101111 10011001 01101111,3
2025-11-29T21:16:29.031310,10001101 00100010 11011101 00010000 01011110 11101010 01111100 11110001 00000111 11101111 10011001 01101111,7
2025-11-29T21:16:29.456318,10001101 00101000 11111111 00010000 01011110 11101000 01111100 11110001 00000111 11101111 10011011 01100111,7
2025-11-29T21:16:29.891264,10001101 00100000 11111111 00010000 01001110 11101010 11111100 11110001 00000111 11101111 10011011 01100111,4
2025-11-29T21:16:30.315821,10011101 00101000 11011101 00010000 01011110 11100010 11101100 11110001 00000110 11101111 10011011 01101111,9
2025-11-29T21:16:30.820746,10011101 00101010 11111101 00011010 01111110 11111000 01111100 11110100 00000111 11101011 10011011 01101111,14
2025-11-29T21:16:31.191987,00011101 00100010 11011101 00011000 01011111 01101010 01111100 11110000 00000111 11101011 10111001 01100111,13
2025-11-29T21:16:31.535629,10001101 00100000 11011101 00010000 01011110 01100010 01111100 11110000 00000111 11101011 10011011 01100111,8
2025-11-29T21:16:31.890206,10011101 00100000 11111101 00011000 01111110 11100010 01111000 11110001 00000110 11101111 10011011 01101111,10
2025-11-29T21:16:32.224958,10001101 00100000 11111111 00011000 01001110 11100000 01111100 11110001 00000110 11101111 10011011 01100111,7
2025-11-29T21:16:32.553326,10001101 00101000 11111111 00000000 01001110 11101000 11111110 11110001 00000110 11101111 10011011 01100101,7
2025-11-29T21:16:32.940415,10001101 00101010 11111111 00010001 01001110 11101010 11111100 11110000 00000110 11101111 10011001 01101111,9
2025-11-29T21:16:33.256525,10011101 00101000 11111101 00011000 01001110 11101010 11111100 11110001 00000111 11101011 10001001 01101101,10
2025-11-29T21:16:33.601177,10011101 10101000 11111101 00010000 01011110 11111000 01111100 11110000 00000111 11101111 10001011 01101111,10
